manager,att,dfn,net
Ralf Rangnick,-0.04578288439024685,-0.05135522444993708,-0.09713810884018392
Ralph Hasenhüttl,0.0902348738425262,0.09365995519197452,0.18389482903450072
Rob Edwards,0.12552203705782367,0.02397856996541844,0.1495006070232421
Roberto De Zerbi,0.13313089865357866,0.16295653681811142,0.2960874354716901
Roberto Martínez,0.03602095867982312,-0.17844214356331753,-0.14242118488349442
Ronald Koeman,0.149351947117219,0.007138782016086963,0.15649072913330597
Roy Hodgson,0.039775491507545356,-0.012434876497401152,0.027340615010144204
Ruben Amorim,0.038778104795923495,-0.013792710689460202,0.02498539410646329
Rubén Sellés,-0.05491602910924983,-0.02733132045683213,-0.08224734956608196
Russell Martin,0.13571586058390578,-0.22796111046609568,-0.0922452498821899
Ruud van Nistelrooy,-0.2541618287157164,-0.11617569013635971,-0.3703375188520761
Régis Le Bris,0.011381341359391808,0.34232505006304886,0.35370639142244065
Rémi Garde,-0.1921992188511258,-0.014034808245745913,-0.20623402709687172
Sam Allardyce,0.013954629859930305,0.029749548556388984,0.04370417841631929
Scott Parker,-0.02382409915109603,-0.047472701493894126,-0.07129680064499015
Sean Dyche,-0.00944564472060906,-0.011356703727040968,-0.020802348447650026
Slaven Bilić,0.05614663437038224,0.016663752964988253,0.07281038733537049
Steve Bruce,-0.06399481328026001,-0.07566801269052692,-0.13966282597078694
Steve Cooper,-0.1998016645778451,-0.188448674843692,-0.3882503394215371
Steve McClaren,0.02911033917054499,-0.3444217220501551,-0.3153113828796101
Steven Gerrard,-0.023481953389136785,0.2313200877453946,0.2078381343562578
Thomas Frank,-0.07904095593834708,0.0033537441197402512,-0.07568721181860683
Thomas Tuchel,-0.00703031716912047,0.21059703463009705,0.20356671746097657
Tim Sherwood,-0.07826325849362273,0.21387216792012306,0.13560890942650033
UNKNOWN,9.82388249586767e-09,-4.818164240842293e-08,-3.835775991255526e-08
Unai Emery,0.2357227956860016,0.12099990685377937,0.356722702539781
Vincent Kompany,-0.016148477600006535,0.08602334882810862,0.06987487122810208
Vítor Pereira,0.15193619711291434,0.13891978741224653,0.29085598452516087
Walter Mazzarri,-0.07172661397288929,-0.07579242816441904,-0.14751904213730832
