season,team,d_att,d_dfn
2018,Tottenham,-0.19795943286049428,-0.16690373699564678
2018,Manchester United,-0.0610945855119511,-0.19615587368143445
2018,Watford,0.11536613440860133,-0.046168869634809734
2018,Brighton,-0.06443505349740775,-0.025533148209284623
2018,Liverpool,-0.08659083036397497,0.29194694312444874
2018,Southampton,0.08255893263516774,-0.15209414264344875
2018,West Ham,0.11253962463798509,0.022127214425590402
2018,Huddersfield,-0.19956203561297847,-0.1805013747619452
2018,Burnley,0.19035243252512518,-0.30686780037763556
2018,Chelsea,-0.042543230227211515,-0.0254123724554563
2018,Everton,0.16127123364767385,0.21191728626894624
2018,Manchester City,-0.08368928242527951,0.1253800178293618
2018,Newcastle United,-0.17171225371961568,-0.01474014773571414
2018,Arsenal,-0.16716338223341537,-0.041914484453146855
2018,Leicester,-0.11382155467833313,0.22310222850424832
2019,Bournemouth,-0.25441275641936006,0.04415005464903804
2019,Crystal Palace,-0.33601338383003193,-0.06322756992060709
2019,Tottenham,-0.18552527288619636,-0.08608787848156901
2019,Manchester United,-0.049969458565285174,0.3367255786274158
2019,Watford,-0.23494247478818459,0.07817888107425756
2019,Brighton,0.2832343865618317,-0.020642284968269434
2019,Liverpool,-0.025288855867499904,-0.32629747900174566
2019,Southampton,0.1334309366578752,0.0698664887433436
2019,West Ham,0.01683068605568737,-0.0480461855050037
2019,Burnley,0.03566906926144109,0.2703496855305398
2019,Chelsea,0.1537868485611347,-0.16712547645371598
2019,Everton,-0.009402275113187995,-0.06576337384168154
2019,Manchester City,0.06071697846262991,-0.4212500711938943
2019,Newcastle United,-0.05074823599610814,-0.19535285941548922
2019,Arsenal,-0.2386496406687597,0.05367659114535782
2019,Leicester,0.2087797366505854,0.056724468433777014
2019,Wolverhampton Wanderers,0.03944515456952753,0.1369282050461657
2020,Tottenham,0.1801275453535176,0.004272494941341597
2020,Crystal Palace,0.15185068696831522,-0.17167309061973188
2020,Sheffield United,-0.3983649361865361,-0.345526528715078
2020,Aston Villa,0.2625959267357956,0.26521419977904526
2020,Manchester United,0.08387266187901135,-0.18153947125171707
2020,Brighton,0.055865407472849474,0.3539031779924149
2020,Liverpool,-0.051195450445460255,-0.16409683738476488
2020,Southampton,-0.14693796936928755,-0.0685925027497949
2020,West Ham,0.25801371496109926,0.23996132884418894
2020,Burnley,-0.21118045393734913,-0.1646779310541684
2020,Chelsea,-0.11942628100347391,0.3226330217640506
2020,Everton,-0.04028774707532498,-0.01828649667399363
2020,Manchester City,-0.2131444027603286,0.2713263143081442
2020,Newcastle United,0.160003460909083,0.02474916343122613
2020,Arsenal,0.02433868048912071,0.1586229248043439
2020,Leicester,-0.010393482766821477,-0.17898341294662007
2020,Wolverhampton Wanderers,-0.29545951398490644,-0.3150021076881789
2021,Tottenham,0.08088585685351396,0.11749462838795613
2021,Crystal Palace,0.18152405204873434,0.4427509824431747
2021,Aston Villa,-0.22947195762822703,0.009876993616504745
2021,Manchester United,-0.13567661418159177,-0.24255147626444135
2021,Leeds,-0.27050578620219085,-0.18891160980349475
2021,Brighton,-0.07229664452472145,-0.10255151664342772
2021,Liverpool,0.21302293342784734,0.3254154965970284
2021,Southampton,-0.011638967086707322,-0.08281560953631839
2021,West Ham,-0.14296378753129385,-0.020531866487816984
2021,Burnley,0.02951024919652212,0.05725991442587819
2021,Chelsea,0.05366224180724555,0.00784670891007655
2021,Everton,-0.1654168944445121,-0.2054336294714858
2021,Manchester City,0.14190408075153832,0.05698991296647549
2021,Newcastle United,-0.0500069204452924,0.024202531766483237
2021,Arsenal,0.11288454891217678,-0.07356181463997602
2021,Leicester,-0.09145950366444319,-0.20515166671962037
2021,Wolverhampton Wanderers,0.01897679557769888,0.02924318453463565
2022,Tottenham,-0.1493005180940711,-0.17603454689694636
2022,Crystal Palace,-0.1794054348805031,-0.11729488436350372
2022,Aston Villa,0.04205650618332484,0.09235852877285744
2022,Manchester United,0.14388959668182677,0.20220575565010399
2022,Leeds,-0.03469956427827824,0.08813632218787126
2022,Brighton,0.4752272473772932,-0.026676946535767243
2022,Liverpool,-0.16741254921175036,-0.43576954281714875
